target_x,target_y,target_z,theta1,theta2,theta3
24.7748,-34.9942,-203.8028,-52.5794,-35.17,-21.1394
12.2042,-65.7839,-212.1525,-38.9551,-31.1686,3.9576
-55.0039,65.6605,-206.6837,11.3607,-28.1094,-46.3608
-68.2924,-3.9524,-211.8207,0.6216,-44.3158,-21.2133
-36.2049,-75.6737,-239.7272,-0.3928,-19.672,25.9239
-56.5419,30.4581,-198.9029,-6.2807,-50.9051,-49.8821
-0.9856,8.3234,-222.7547,-21.2697,-22.0474,-26.8405
53.1215,-32.2554,-200.073,-59.5178,-22.2035,-21.848
33.7856,7.0121,-212.201,-40.5729,-16.4383,-34.1216
11.1929,-54.445,-235.4608,-19.7074,-12.8627,10.9222
-71.4819,-37.6873,-239.2018,14.8804,-24.2041,13.1483
89.6311,31.6201,-235.9401,-18.1926,31.8312,-10.0845
88.8184,32.3764,-232.1247,-20.7313,30.0275,-13.1365
21.3603,86.5669,-229.2133,4.5224,17.0586,-32.8229
-6.5763,-42.5574,-204.7278,-42.2506,-46.3058,-16.1676
54.5611,-23.0957,-205.3382,-53.5301,-15.7287,-22.3664
-36.3716,16.1515,-190.5827,-33.7755,-68.4012,-66.2968
11.7209,24.413,-208.5786,-34.2242,-25.3809,-45.5941
-23.2998,-79.5963,-218.0845,-20.953,-34.0594,16.6906
65.3457,55.8869,-205.1929,-34.7914,12.0402,-45.4665
-58.1018,-58.5446,-199.3643,-19.546,-56.148,-2.1225
30.1737,-20.9227,-237.7369,-20.8183,-3.0595,-2.0781
34.4519,6.3766,-236.1407,-19.3421,1.3407,-13.2159
33.993,-61.6044,-226.4925,-31.1766,-10.9877,11.1411
50.4544,22.2808,-190.0056,-68.9517,-21.9665,-65.689
54.4758,-21.4042,-201.2144,-58.2926,-19.2178,-27.3703
-0.911,-72.4183,-193.3598,-54.215,-54.0268,-3.3178
-50.2863,34.2807,-194.6266,-12.1634,-55.0298,-58.3098
-50.1878,-82.1714,-238.1463,4.8923,-21.8309,30.3145
74.148,-63.8708,-237.8487,-25.3991,15.368,23.9698
10.4115,-71.3454,-234.2007,-19.8475,-13.4961,19.0808
16.13,79.9041,-223.9723,-0.4062,9.5173,-37.2268
31.1804,-10.8431,-205.2685,-51.0539,-28.0146,-33.6096
-5.532,15.5361,-214.3506,-25.1222,-29.3529,-36.9324
67.692,0.3337,-213.4092,-43.0081,2.0427,-23.3658
-2.8784,-96.079,-229.6779,-16.6085,-17.7576,30.6577
-13.2537,-21.1,-211.438,-31.5611,-40.6014,-22.9791
45.1633,-79.034,-220.6644,-35.6065,-9.1105,19.2868
-72.6237,-40.6406,-192.8246,-14.1831,-63.1904,-14.7296
-58.205,54.2791,-210.2186,10.2389,-30.4342,-41.734
-69.7615,-41.0849,-215.5098,-0.6473,-42.8922,0.201
-57.7675,32.0933,-231.5105,14.3929,-20.1855,-20.0875
31.6447,69.3393,-197.0721,-31.3138,-5.4197,-61.1305
-51.031,-47.1261,-219.0771,-8.9386,-39.452,1.5805
-57.4457,74.3321,-203.7546,14.961,-26.5243,-48.4041
9.1406,5.0543,-238.3699,-12.2889,-6.8354,-12.8505
26.0853,-92.57,-223.0775,-29.0728,-13.887,26.5832
65.6865,-32.4287,-233.0791,-29.0194,8.9588,4.9699
-74.039,-34.3626,-208.1342,-2.1131,-48.926,-7.0541
5.7143,-90.1547,-197.2743,-47.6266,-43.559,12.1996
-69.1621,8.2137,-221.3929,8.9179,-34.2829,-18.5399
95.3204,18.7516,-227.2266,-27.228,28.3654,-11.1917
71.084,-2.6079,-224.3108,-33.7461,10.0418,-12.6308
-40.3475,55.8478,-234.4915,15.6553,-8.3986,-24.6677
42.2464,-55.8046,-230.9939,-28.7936,-4.1071,11.4578
29.5035,-4.4216,-224.8945,-29.7562,-10.689,-18.7786
-53.9414,19.9466,-238.6608,13.9758,-16.9264,-12.04
-71.4165,25.4685,-236.2826,21.9083,-18.8713,-11.6246
-22.2017,13.5728,-203.4479,-28.6216,-46.4905,-47.1093
16.9938,-9.4733,-199.783,-55.6994,-41.8619,-42.594
-22.3465,87.51,-193.4641,-1.3863,-20.4589,-62.9845
30.9669,-20.7081,-204.8662,-52.2504,-29.883,-28.445
8.7612,85.9902,-204.447,-7.837,-1.9292,-53.7483
46.728,-79.8179,-232.5913,-26.4559,-0.0684,25.3417
-29.779,-77.2062,-200.5484,-33.2318,-50.8229,6.4859
7.6703,24.5068,-196.7233,-47.838,-40.7918,-62.4168
-50.1998,-12.8749,-220.0645,-5.5481,-37.4881,-15.0696
21.6477,17.7105,-207.3768,-40.6054,-24.0348,-44.4454
36.6761,-74.6562,-223.6463,-32.8529,-11.2838,17.2081
3.311,22.0773,-194.3931,-51.055,-47.6685,-66.6522
53.8702,51.8604,-224.6765,-19.0229,14.9567,-30.5935
-38.683,82.0627,-216.6719,15.8784,-9.8116,-40.5481
