Index,Cmd_X,Cmd_Y,Cmd_Z,Theta1,Theta2,Theta3
0,64.506,52.785,-202.524,-12.2,21.7,-19.3
1,66.634,99.295,-199.252,3.1,35.9,-24.6
2,-68.846,72.203,-203.641,29.4,-5.4,-20.1
3,28.068,-83.075,-222.094,-9.8,4.0,30.9
4,55.326,18.983,-205.106,-18.3,11.2,-12.3
5,12.263,-1.729,-191.314,-24.5,-17.2,-20.0
6,-75.349,-20.632,-229.1,25.2,-10.2,16.3
7,77.195,-59.084,-216.984,-19.0,19.2,25.0
8,-41.509,-6.419,-192.235,-6.1,-30.2,-15.1
9,-71.469,13.571,-228.4,27.3,-6.1,5.5
10,-71.378,-74.193,-232.97,25.0,-8.7,36.9
11,-4.146,6.494,-216.968,-1.8,-4.0,-5.8
12,-1.948,11.344,-221.013,0.7,-0.2,-4.7
13,88.406,73.706,-225.324,6.6,45.1,-3.1
14,72.843,-36.309,-223.938,-14.2,20.9,18.7
15,42.802,32.142,-209.347,-11.0,11.4,-14.4
16,-38.138,-96.52,-194.733,-7.0,-27.4,27.2
17,17.304,-108.497,-203.259,-16.6,-7.6,34.9
18,25.978,98.768,-232.808,25.2,36.1,-9.0
19,-108.205,5.564,-192.88,27.7,-30.0,-3.5
20,45.756,-81.494,-201.522,-25.4,-1.4,23.3
21,93.839,2.051,-212.714,-18.1,28.3,4.8
22,-90.76,0.021,-210.056,25.5,-20.1,3.1
23,-23.717,-20.658,-219.047,1.6,-10.4,4.6
24,-78.079,5.145,-219.295,24.7,-13.3,3.9
25,-13.481,-9.553,-227.196,4.3,-2.3,5.0
26,37.357,-66.139,-198.436,-27.4,-7.3,13.7
27,-112.417,-9.663,-194.263,28.5,-30.7,3.8
28,88.741,19.97,-197.084,-25.2,22.3,-10.8
29,-108.718,41.531,-199.965,37.0,-17.9,-8.2
30,-116.736,11.0,-221.612,43.0,-10.7,13.5
31,115.29,24.984,-238.395,1.5,50.5,18.7
32,121.987,13.132,-220.374,-10.8,45.2,14.0
33,-24.428,21.107,-199.327,-3.2,-17.0,-20.4
34,14.148,-94.705,-232.219,-0.3,6.5,39.3
35,27.475,26.772,-194.17,-19.9,-3.8,-25.2
36,-6.596,1.977,-200.619,-12.0,-15.7,-14.8
37,29.376,50.627,-218.427,1.4,15.9,-13.2
38,-31.604,-56.255,-231.074,9.1,-6.0,24.1
39,95.227,-30.547,-215.746,-19.4,27.2,17.4
40,55.537,24.506,-235.926,1.6,26.7,4.7
41,3.409,25.168,-226.031,4.9,6.5,-5.0
42,-34.721,-104.615,-216.887,5.5,-11.9,39.0
43,105.332,9.728,-214.473,-15.7,35.1,6.7
44,-98.678,39.547,-237.752,45.9,3.8,11.0
45,-13.194,-18.97,-235.933,8.0,1.8,12.5
46,93.039,55.264,-224.097,0.1,41.9,-0.6
47,-98.672,2.255,-212.897,30.5,-17.9,6.1
48,-72.034,43.79,-204.326,23.2,-14.2,-15.2
49,-41.586,-114.414,-227.893,15.3,-5.1,48.0
50,-15.327,-121.08,-216.778,1.7,-6.0,45.5
51,-75.817,27.94,-202.578,20.4,-19.5,-12.3
52,-106.435,48.347,-216.978,43.2,-5.8,-0.1
53,93.693,1.563,-209.872,-20.0,27.0,3.3
54,-12.131,111.294,-194.773,21.3,15.0,-33.0
55,-38.499,-105.865,-218.002,7.7,-11.6,40.3
56,-25.265,2.46,-216.005,3.2,-9.8,-4.4
57,-20.174,52.005,-197.429,2.5,-8.9,-28.1
58,-54.682,-68.662,-222.668,13.0,-13.8,27.7
59,-11.269,66.974,-218.682,15.4,10.0,-16.1
60,-92.47,49.501,-230.17,42.6,2.0,3.6
61,-100.239,62.637,-237.365,51.1,9.7,7.7
62,-12.129,-26.43,-214.519,-5.1,-11.3,3.6
63,39.494,13.625,-239.151,3.3,21.2,7.0
64,41.129,69.894,-232.645,13.0,31.1,-6.0
65,107.552,10.094,-218.267,-13.2,37.6,9.2
66,36.445,-103.478,-210.219,-16.3,2.3,36.2
67,90.19,-41.348,-196.855,-32.0,16.0,11.1
68,-36.739,11.484,-210.594,5.6,-13.7,-9.3
69,18.388,70.182,-209.775,4.8,14.1,-21.8
70,-89.342,-17.263,-219.342,27.0,-16.2,13.2
71,73.083,-48.804,-216.916,-18.9,17.4,20.1
72,70.276,-73.158,-201.906,-27.7,9.0,23.3
73,-49.128,97.723,-206.235,31.8,8.1,-22.8
74,68.266,34.823,-202.841,-17.3,18.9,-15.2
75,-8.29,-120.876,-214.204,-1.8,-6.0,44.4
76,-67.084,6.026,-230.421,25.5,-5.8,7.8
77,57.394,34.478,-232.321,1.4,27.6,0.9
78,-31.476,92.315,-197.297,20.3,3.8,-30.4
79,90.901,55.074,-213.793,-5.9,37.2,-7.1
80,-62.768,-100.515,-204.088,9.2,-23.3,35.8
81,10.2,68.486,-205.855,3.9,9.2,-24.6
82,-25.01,112.026,-194.796,25.4,12.6,-32.3
83,-46.108,-24.711,-238.071,18.5,-2.8,17.8
84,-44.773,-31.743,-220.872,8.8,-13.4,11.3
85,-68.762,-98.352,-239.295,29.2,-3.1,48.9
86,77.106,-89.544,-233.383,-7.8,28.8,44.3
87,-41.996,-28.438,-227.598,11.6,-8.7,13.3
88,36.91,73.315,-226.2,11.3,28.1,-10.6
89,-56.187,-28.444,-206.811,6.0,-23.5,4.2
90,93.845,46.247,-198.999,-17.6,31.0,-14.0
