X,Y,Z
1793.673,-1091.026,-505.574
1894.417,-1041.114,-496.8
1808.383,-1083.304,-507.084
1839.502,-1115.689,-500.104
1852.804,-1157.477,-510.316
1882.156,-1139.047,-498.913
1796.339,-1161.101,-514.345
1894.405,-1129.63,-505.578
1848.457,-1128.655,-505.333
1796.497,-1109.789,-505.614
1829.373,-1015.538,-509.167
1888.292,-1085.132,-514.688
1794.683,-1009.901,-517.87
1884.271,-1123.423,-502.762
1823.129,-1096.17,-503.795
1863.809,-1024.086,-510.215
1868.584,-1031.2,-510.81
1762.192,-1068.102,-522.018
1849.634,-1042.114,-521.771
1777.893,-1075.643,-500.748
1845.831,-1045.68,-505.693
1779.84,-1023.941,-520.978
1736.643,-1086.023,-499.307
1850.957,-1105.378,-494.245
1830.874,-1020.377,-502.852
1773.833,-1115.93,-505.953
1822.139,-1017.834,-503.913
1882.751,-1068.673,-493.387
1795.833,-995.323,-517.962
1898.487,-1043.992,-516.801
1794.102,-1070.629,-518.118
1835.259,-1115.362,-505.418
1882.051,-1097.992,-498.06
1852.325,-1095.603,-517.879
1811.653,-1171.9,-509.991
1850.261,-1112.602,-504.283
1855.349,-1048.403,-498.001
1851.613,-1081.133,-508.729
1874.472,-1101.926,-508.925
1826.551,-1029.727,-497.458
1817.882,-1107.84,-500.483
1767.509,-1076.552,-509.752
1873.72,-1086.21,-516.499
1879.075,-1093.397,-503.637
1845.018,-1154.275,-520.187
1834.35,-1018.392,-497.358
1738.832,-1082.722,-523.229
1833.75,-1071.238,-500.032
1754.876,-1127.196,-508.464
1893.327,-1071.861,-518.038
1811.095,-1057.428,-511.433
1826.202,-1080.243,-514.195
1779.065,-1020.108,-511.144
1754.703,-1062.722,-504.173
1817.748,-1148.873,-506.71
1746.33,-1021.123,-517.697
1880.737,-1069.122,-514.41
1844.631,-1057.49,-508.877
1865.048,-1105.556,-503.875
1817.359,-1041.618,-501.166
1733.863,-1089.894,-514.404
1874.928,-1030.396,-520.484
1802.168,-1101.953,-516.01
1741.743,-1115.242,-518.031
1809.342,-1097.389,-501.894
1812.834,-1116.646,-506.705
1865.167,-1122.31,-515.736
1843.949,-1136.589,-501.7
1846.834,-1044.449,-521.512
1828.841,-1149.326,-513.247
1775.76,-1019.507,-499.413
1735.991,-1090.144,-516.294
1796.703,-995.951,-505.469
1791.341,-998.487,-499.038
1856.111,-1088.766,-515.539
1886.278,-1039.588,-520.775
1838.279,-1008.658,-508.531
1794.306,-998.539,-515.036
1837.192,-1087.333,-517.215
1867.511,-1129.243,-518.268
1741,-1100.969,-514.046
1898.438,-1049.292,-504.81
1824.031,-1087.307,-499.489
1882.232,-1046.117,-510.21
1748.783,-1033.904,-518.627
1899.218,-1097.386,-506.762
1809.986,-1011.979,-502.937
1740.608,-1060.722,-513.804
