Index,cmd_x,cmd_y,cmd_z,theta_1,theta_2,theta_3,meas_x,meas_y,meas_z
0,64.506,52.785,-202.524,-12.2,21.7,-19.3,58.97,46.132,-203.579
1,66.634,99.295,-199.252,3.1,35.9,-24.6,61.197,90.74,-201.279
2,-68.846,72.203,-203.641,29.4,-5.4,-20.1,-60.61,67.258,-205.774
3,28.068,-83.075,-222.094,-9.8,4,30.9,25.347,-76.869,-219.604
4,55.326,18.983,-205.106,-18.3,11.2,-12.3,50.424,14.938,-205.132
5,12.263,-1.729,-191.314,-24.5,-17.2,-20,10.987,-2.629,-193.126
6,-75.349,-20.632,-229.1,25.2,-10.2,16.3,-69.762,-19.079,-227.272
7,77.195,-59.084,-216.984,-19,19.2,25,71.245,-56.968,-214.453
8,-41.509,-6.419,-192.235,-6.1,-30.2,-15.1,-38.3,-5.815,-194.237
9,-71.469,13.571,-228.4,27.3,-6.1,5.5,-65.058,12.338,-227.169
10,-71.378,-74.193,-232.97,25,-8.7,36.9,-68.133,-67.722,-230.802
11,-4.146,6.494,-216.968,-1.8,-4,-5.8,-3.884,5.402,-215.587
12,-1.948,11.344,-221.013,0.7,-0.2,-4.7,-1.587,9.7,-219.207
13,88.406,73.706,-225.324,6.6,45.1,-3.1,81.535,65.402,-225.593
14,72.843,-36.309,-223.938,-14.2,20.9,18.7,67.177,-36.75,-220.948
15,42.802,32.142,-209.347,-11,11.4,-14.4,39.112,27.47,-209.135
16,-38.138,-96.52,-194.733,-7,-27.4,27.2,-37.685,-86.966,-195.904
17,17.304,-108.497,-203.259,-16.6,-7.6,34.9,15.071,-98.94,-203.195
18,25.978,98.768,-232.808,25.2,36.1,-9,25.35,91.39,-231.723
19,-108.205,5.564,-192.88,27.7,-30,-3.5,-99.703,4.961,-195.503
20,45.756,-81.494,-201.522,-25.4,-1.4,23.3,42.018,-75.59,-200.76
21,93.839,2.051,-212.714,-18.1,28.3,4.8,86.168,-2.447,-211.679
22,-90.76,0.021,-210.056,25.5,-20.1,3.1,-83.475,0.033,-210.444
23,-23.717,-20.658,-219.047,1.6,-10.4,4.6,-22.125,-18.986,-217.277
24,-78.079,5.145,-219.295,24.7,-13.3,3.9,-71.468,4.703,-218.734
25,-13.481,-9.553,-227.196,4.3,-2.3,5,-12.409,-9.23,-224.641
26,37.357,-66.139,-198.436,-27.4,-7.3,13.7,34.101,-61.242,-198.243
27,-112.417,-9.663,-194.263,28.5,-30.7,3.8,-104.239,-9.017,-196.311
28,88.741,19.97,-197.084,-25.2,22.3,-10.8,81.265,14.53,-198.155
