Index,cmd_x,cmd_y,cmd_z,theta_1,theta_2,theta_3,meas_x,meas_y,meas_z
0,64.506,52.785,-202.524,-12.2,21.7,-19.3,56.624,48.405,-203.859
1,66.634,99.295,-199.252,3.1,35.9,-24.6,57.764,93.068,-201.422
2,-68.846,72.203,-203.641,29.4,-5.4,-20.1,-63.483,66.819,-205.489
3,28.068,-83.075,-222.094,-9.8,4,30.9,25.989,-75.338,-220.179
4,55.326,18.983,-205.106,-18.3,11.2,-12.3,48.823,16.977,-205.503
5,12.263,-1.729,-191.314,-24.5,-17.2,-20,9.911,-1.44,-193.311
6,-75.349,-20.632,-229.1,25.2,-10.2,16.3,-70.671,-19.7,-227.304
7,77.195,-59.084,-216.984,-19,19.2,25,71.384,-54.331,-215.211
8,-41.509,-6.419,-192.235,-6.1,-30.2,-15.1,-39.345,-5.756,-194.326
9,-71.469,13.571,-228.4,27.3,-6.1,5.5,-66.632,11.859,-227.128
10,-71.378,-74.193,-232.97,25,-8.7,36.9,-67.685,-68.252,-231.109
11,-4.146,6.494,-216.968,-1.8,-4,-5.8,-5.255,6.16,-215.775
12,-1.948,11.344,-221.013,0.7,-0.2,-4.7,-3.125,10.546,-219.389
13,88.406,73.706,-225.324,6.6,45.1,-3.1,78.648,68.253,-225.911
14,72.843,-36.309,-223.938,-14.2,20.9,18.7,66.829,-34.181,-221.507
15,42.802,32.142,-209.347,-11,11.4,-14.4,37.139,29.461,-209.27
16,-38.138,-96.52,-194.733,-7,-27.4,27.2,-36.532,-86.9,-196.425
17,17.304,-108.497,-203.259,-16.6,-7.6,34.9,16.167,-97.673,-203.891
18,25.978,98.768,-232.808,25.2,36.1,-9,21.851,92.926,-231.719
19,-108.205,5.564,-192.88,27.7,-30,-3.5,-100.839,3.553,-195.501
20,45.756,-81.494,-201.522,-25.4,-1.4,23.3,42.673,-73.712,-201.416
21,93.839,2.051,-212.714,-18.1,28.3,4.8,84.915,0.457,-212.256
22,-90.76,0.021,-210.056,25.5,-20.1,3.1,-84.724,-0.992,-210.399
