x,y,z
64.506,52.785,-202.524
66.634,99.295,-199.252
-68.846,72.203,-203.641
28.068,-83.075,-222.094
55.326,18.983,-205.106
12.263,-1.729,-191.314
-75.349,-20.632,-229.1
77.195,-59.084,-216.984
-41.509,-6.419,-192.235
-71.469,13.571,-228.4
-71.378,-74.193,-232.97
-4.146,6.494,-216.968
-1.948,11.344,-221.013
88.406,73.706,-225.324
72.843,-36.309,-223.938
42.802,32.142,-209.347
-38.138,-96.52,-194.733
17.304,-108.497,-203.259
25.978,98.768,-232.808
-108.205,5.564,-192.88
45.756,-81.494,-201.522
93.839,2.051,-212.714
-90.76,0.021,-210.056
-23.717,-20.658,-219.047
-78.079,5.145,-219.295
-13.481,-9.553,-227.196
37.357,-66.139,-198.436
-112.417,-9.663,-194.263
88.741,19.97,-197.084
-108.718,41.531,-199.965
-116.736,11.0,-221.612
115.29,24.984,-238.395
121.987,13.132,-220.374
-24.428,21.107,-199.327
14.148,-94.705,-232.219
27.475,26.772,-194.17
-6.596,1.977,-200.619
29.376,50.627,-218.427
-31.604,-56.255,-231.074
95.227,-30.547,-215.746
55.537,24.506,-235.926
3.409,25.168,-226.031
-34.721,-104.615,-216.887
105.332,9.728,-214.473
-98.678,39.547,-237.752
-13.194,-18.97,-235.933
93.039,55.264,-224.097
-98.672,2.255,-212.897
-72.034,43.79,-204.326
-41.586,-114.414,-227.893
-15.327,-121.08,-216.778
-75.817,27.94,-202.578
-106.435,48.347,-216.978
93.693,1.563,-209.872
-12.131,111.294,-194.773
-38.499,-105.865,-218.002
-25.265,2.46,-216.005
-20.174,52.005,-197.429
-54.682,-68.662,-222.668
-11.269,66.974,-218.682
-92.47,49.501,-230.17
-100.239,62.637,-237.365
-12.129,-26.43,-214.519
39.494,13.625,-239.151
41.129,69.894,-232.645
107.552,10.094,-218.267
36.445,-103.478,-210.219
90.19,-41.348,-196.855
-36.739,11.484,-210.594
18.388,70.182,-209.775
-89.342,-17.263,-219.342
73.083,-48.804,-216.916
70.276,-73.158,-201.906
-49.128,97.723,-206.235
68.266,34.823,-202.841
-8.29,-120.876,-214.204
-67.084,6.026,-230.421
57.394,34.478,-232.321
-31.476,92.315,-197.297
90.901,55.074,-213.793
-62.768,-100.515,-204.088
10.2,68.486,-205.855
-25.01,112.026,-194.796
-46.108,-24.711,-238.071
-44.773,-31.743,-220.872
-68.762,-98.352,-239.295
77.106,-89.544,-233.383
-41.996,-28.438,-227.598
36.91,73.315,-226.2
-56.187,-28.444,-206.811
93.845,46.247,-198.999
63.725,-70.622,-208.012
62.205,-60.469,-211.526
9.436,-121.879,-200.97
79.065,63.062,-194.884
88.559,2.557,-239.495
57.067,-89.471,-217.797
68.604,-5.084,-226.18
