orig_x,orig_y,orig_z,comp_x,comp_y,comp_z
-2.4554,34.2427,-236.2179,-2.5184,37.0428,-239.0522
-1.6526,-56.4353,-223.5176,-2.0123,-61.9419,-225.6315
-9.8083,-4.1035,-203.1284,-10.1266,-4.664,-202.6385
42.6541,44.2935,-199.3133,47.3567,48.2098,-197.9619
-80.0911,-48.6248,-234.5376,-85.5453,-52.1581,-236.5312
-7.9846,83.7322,-201.051,-8.4335,89.4117,-199.7752
15.6755,-51.3306,-226.278,16.6236,-56.0886,-228.8599
-60.0382,17.427,-196.8148,-64.7557,18.9268,-194.8244
17.3301,-58.5965,-221.0797,18.3204,-64.1699,-223.1379
54.7564,-17.5434,-226.0031,59.3758,-18.2704,-228.5666
35.6214,56.4249,-213.6531,39.7594,61.0854,-213.9667
31.1028,42.3226,-223.52,34.5329,45.9878,-225.0974
-28.3627,74.8002,-200.3747,-30.9666,79.9899,-198.7775
92.8894,2.5725,-239.5958,100.1996,4.881,-241.9377
-18.4157,36.9086,-235.7778,-19.9477,39.7962,-238.4077
-31.1492,82.6947,-221.9517,-34.4098,88.0224,-222.3257
55.0876,58.006,-204.8332,61.0969,62.9361,-203.8907
-62.6491,-33.356,-202.3507,-67.2266,-36.6355,-201.5981
51.4428,28.4516,-227.8299,56.4652,31.3675,-229.7678
16.8535,-88.5034,-196.8898,17.4592,-97.2634,-195.9475
64.9166,67.6991,-211.8973,71.8266,73.206,-211.3711
48.8406,-44.2117,-214.8811,52.6136,-47.8683,-216.6435
83.9722,22.9124,-204.4289,91.799,26.2429,-203.764
-78.7566,31.5423,-190.4286,-84.9401,34.1869,-187.467
-16.9896,-53.3033,-198.2669,-18.2516,-59.0915,-197.1235
-32.9191,66.6848,-202.3759,-35.9283,71.5024,-200.9959
72.5497,3.091,-215.5811,79.1493,4.6608,-216.667
64.6551,2.8826,-193.7286,70.6083,3.7282,-192.2524
10.5693,53.3243,-199.9744,12.1335,57.6665,-198.6741
-58.0654,-70.5405,-230.9922,-61.7877,-76.703,-232.932
16.0049,67.0465,-218.2201,18.0708,72.1079,-219.0108
-4.9919,-32.4494,-201.0395,-5.3003,-36.173,-200.2915
-20.3047,-84.7114,-228.7708,-21.7774,-92.5869,-230.642
5.339,88.3936,-204.2546,6.3761,94.3224,-203.4168
-77.4369,-5.4372,-222.0471,-83.542,-5.2632,-222.9036
-55.1368,59.5506,-218.4796,-60.3638,63.933,-218.333
-3.7823,-81.0754,-210.1437,-4.3089,-89.2785,-210.5346
-0.2375,92.04,-191.4525,0.2515,97.9697,-189.1796
34.6249,45.7554,-191.1772,38.4803,49.5688,-188.8003
-30.9657,-58.9643,-204.3634,-33.1678,-65.2312,-203.974
-54.2987,55.2774,-215.4841,-59.3545,59.4821,-215.1941
0.6326,-18.8163,-198.5279,0.8503,-21.2792,-197.3626
38.3688,69.1706,-212.909,42.8808,74.4966,-212.924
-49.0073,40.6528,-227.372,-53.3762,43.8871,-228.5826
77.907,44.821,-235.5953,85.015,49.2105,-236.9653
-36.4057,-70.0778,-234.8934,-38.9197,-76.3315,-237.3377
-14.5245,-36.1717,-220.4769,-15.7387,-39.8408,-222.2776
-8.6428,-88.9127,-197.5645,-9.4297,-97.9584,-196.3932
33.1439,-69.2438,-207.8826,35.1672,-75.892,-208.6211
50.8207,-23.4459,-190.9081,55.1805,-25.5843,-189.3485
84.9677,29.2642,-233.5165,92.4099,33.0357,-234.9966
15.4003,43.6035,-233.5434,17.1388,47.0908,-236.0163
50.3726,-24.3224,-198.178,54.7702,-26.4272,-197.5919
5.1205,-25.9818,-234.2633,5.4672,-28.4761,-237.4568
41.273,-76.4311,-220.4854,43.6417,-83.0862,-222.5634
-22.4682,-19.1437,-213.9122,-24.1607,-21.0934,-214.7845
58.2151,45.6942,-208.6558,64.3585,49.9882,-208.3017
35.0227,-9.2704,-227.1583,38.1757,-9.7905,-229.8472
-39.0647,71.5645,-203.0021,-42.7581,76.5712,-201.5429
64.4333,-32.276,-209.138,69.7645,-34.4034,-210.2557
