x,y,z
483.306,-1734.904,-493.432
479.808,-1690.375,-491.555
362.246,-1729.562,-495.802
465.97,-1861.361,-508.155
478.966,-1766.901,-494.639
442.217,-1789.491,-482.439
364.313,-1816.635,-516.411
508.98,-1835.615,-503.309
393.734,-1799.006,-483.537
364.869,-1784.856,-516.65
372.196,-1864.627,-519.45
426.445,-1783.556,-504.96
428.144,-1779.006,-508.619
503.228,-1713.14,-515.608
502.242,-1816.217,-509.942
466.139,-1756.045,-498.766
404.828,-1879.42,-484.361
458.696,-1884.356,-491.659
444.259,-1694.696,-521.913
331.516,-1796.307,-484.92
482.385,-1857.751,-489.353
516.633,-1779.542,-501.091
348.247,-1799.272,-499.813
411.5,-1810.108,-506.439
359.529,-1793.174,-508.121
419.845,-1799.279,-513.87
472.675,-1844.492,-487.005
328.761,-1810.854,-485.54
509.537,-1763.308,-487.674
328.177,-1763.167,-492.752
323.306,-1792.864,-511.743
534.512,-1757.453,-527.023
541.966,-1767.883,-509.34
406.844,-1772.476,-489.984
454.383,-1873.379,-517.966
452.647,-1761.886,-485.422
424.876,-1787.983,-490.583
452.174,-1739.902,-507.241
407.785,-1843.602,-517.082
522.167,-1808.843,-502.778
479.158,-1762.175,-522.927
431.881,-1766.356,-513.483
409.071,-1886.993,-504.416
526.443,-1771.718,-503.232
337.707,-1763.997,-527.581
421.423,-1807.99,-521.736
509.701,-1730.292,-513.838
340.713,-1798.357,-502.668
361.368,-1756.416,-495.608
403.285,-1897.108,-514.979
428.985,-1899.696,-504.639
359.329,-1771.819,-493.708
329.809,-1756.462,-508.647
516.581,-1779.9,-498.506
408.821,-1686.394,-487.156
405.735,-1888.781,-505.429
407.658,-1789.302,-504.189
407.34,-1743.094,-488.909
387.332,-1857.127,-509.574
414.122,-1728.406,-507.988
342.791,-1753.743,-520.524
334.223,-1742.044,-528.503
422.731,-1813.987,-502.178
465.637,-1773.387,-525.276
460.856,-1720.805,-521.012
528.813,-1771.71,-506.633
476.226,-1878.663,-497.413
518.714,-1818.394,-485.31
396.54,-1782.599,-499.749
440.069,-1722.536,-499.867
350.978,-1814.986,-507.786
503.707,-1826.834,-503.419
504.34,-1848.561,-489.27
377.417,-1703.09,-498.186
489.076,-1751.309,-493.115
435.715,-1899.006,-502
369.561,-1791.137,-518.178
479.606,-1752.556,-519.805
393.459,-1706.566,-489.592
507.689,-1730.49,-504.112
381.937,-1886.131,-492.801
433.063,-1724.857,-496.333
397.566,-1686.731,-487.423
391.603,-1816.94,-524.1
393.313,-1822.709,-508.137
376.099,-1886.653,-525.621
513.295,-1863.982,-518.436
395.643,-1819.572,-514.337
456.674,-1717.949,-515.061
382.382,-1820.712,-495.735
511.147,-1738.537,-490.399
497.803,-1847.126,-494.929
494.991,-1838.188,-498.282
452.804,-1897.544,-489.746
495.47,-1723.894,-487.078
512.511,-1779.851,-525.914
494.125,-1864.713,-503.95
494.456,-1788.101,-512.976
438.96,-1675.718,-513.975
423.434,-1693.435,-493.844
359.576,-1729.767,-523.084
413.724,-1745.832,-522.912
492.194,-1811.804,-501.957
405.638,-1723.75,-512.063
407.94,-1743.364,-516.857
439.125,-1884.916,-496.112
430.915,-1816.309,-512.13
359.449,-1731.971,-494.561
453.421,-1792.625,-523.565
533.948,-1826.187,-485.005
362.337,-1698.936,-515.695
418.49,-1882.653,-518.433
475.37,-1847.134,-521.453
